idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
54,Baseline5UAV-18-20260922-20:31:48-1127386,Baseline5UAV,18,18,18,sha3,5,,,,4,1,0.003807,0.036388,0.064189,160,16,enrollment; config=Baseline5UAV
55,Baseline5UAV-19-20260922-20:31:48-1127386,Baseline5UAV,19,19,19,sha3,5,,,,0,1,0.007123,0.040365,0.077543,160,16,enrollment; config=Baseline5UAV
56,Baseline5UAV-19-20260922-20:31:48-1127386,Baseline5UAV,19,19,19,sha3,5,,,,1,1,0.004047,0.035635,0.065812,160,16,enrollment; config=Baseline5UAV
57,Baseline5UAV-19-20260922-20:31:48-1127386,Baseline5UAV,19,19,19,sha3,5,,,,2,1,0.003877,0.035045,0.063518,160,16,enrollment; config=Baseline5UAV
58,Baseline5UAV-19-20260922-20:31:48-1127386,Baseline5UAV,19,19,19,sha3,5,,,,3,1,0.003887,0.035266,0.062847,160,16,enrollment; config=Baseline5UAV
59,Baseline5UAV-19-20260922-20:31:48-1127386,Baseline5UAV,19,19,19,sha3,5,,,,4,1,0.003797,0.042959,0.07062,160,16,enrollment; config=Baseline5UAV
60,Baseline5UAV-2-20260922-20:31:47-1127386,Baseline5UAV,2,2,2,sha3,5,,,,0,1,0.007825,0.048951,0.087152,160,16,enrollment; config=Baseline5UAV
61,Baseline5UAV-2-20260922-20:31:47-1127386,Baseline5UAV,2,2,2,sha3,5,,,,1,1,0.004078,0.035295,0.06531,160,16,enrollment; config=Baseline5UAV
62,Baseline5UAV-2-20260922-20:31:47-1127386,Baseline5UAV,2,2,2,sha3,5,,,,2,1,0.003777,0.035296,0.063317,160,16,enrollment; config=Baseline5UAV
63,Baseline5UAV-2-20260922-20:31:47-1127386,Baseline5UAV,2,2,2,sha3,5,,,,3,1,0.003858,0.036096,0.063287,160,16,enrollment; config=Baseline5UAV
64,Baseline5UAV-2-20260922-20:31:47-1127386,Baseline5UAV,2,2,2,sha3,5,,,,4,1,0.003747,0.035005,0.062105,160,16,enrollment; config=Baseline5UAV
65,Baseline5UAV-20-20260922-20:31:48-1127386,Baseline5UAV,20,20,20,sha3,5,,,,0,1,0.007804,0.040074,0.078856,160,16,enrollment; config=Baseline5UAV
66,Baseline5UAV-20-20260922-20:31:48-1127386,Baseline5UAV,20,20,20,sha3,5,,,,1,1,0.004248,0.035686,0.073636,160,16,enrollment; config=Baseline5UAV
67,Baseline5UAV-20-20260922-20:31:48-1127386,Baseline5UAV,20,20,20,sha3,5,,,,2,1,0.003877,0.035706,0.064589,160,16,enrollment; config=Baseline5UAV
68,Baseline5UAV-20-20260922-20:31:48-1127386,Baseline5UAV,20,20,20,sha3,5,,,,3,1,0.003887,0.035064,0.062356,160,16,enrollment; config=Baseline5UAV
69,Baseline5UAV-20-20260922-20:31:48-1127386,Baseline5UAV,20,20,20,sha3,5,,,,4,1,0.003847,0.036146,0.063919,160,16,enrollment; config=Baseline5UAV
70,Baseline5UAV-21-20260922-20:31:48-1127386,Baseline5UAV,21,21,21,sha3,5,,,,0,1,0.007393,0.040365,0.078936,160,16,enrollment; config=Baseline5UAV
