idx,run_id,config,runnumber,repetition,seedset,uav_id,success,wall_latency_ms,bytes_sent,bytes_received,gs_m1_attempts,gs_m4_successes
137,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,7,1,6.89349,147,630,10,10
138,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,8,1,9.429808,147,630,10,10
139,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,9,1,10.29648,147,630,10,10
140,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,0,1,11.901085,147,630,10,10
141,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,1,1,10.330148,147,630,10,10
142,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,2,1,12.745732,147,630,10,10
143,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,3,1,14.035729,147,630,10,10
144,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,4,1,13.130667,147,630,10,10
145,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,5,1,9.764158,147,630,10,10
146,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,6,1,15.352524,147,630,10,10
147,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,7,1,11.196146,147,630,10,10
148,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,8,1,14.826052,147,630,10,10
149,Inet80211SHA3-21-20260810-15:02:31-742143,Inet80211SHA3,21,21,21,9,1,14.420435,147,630,10,10
150,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,0,1,10.462593,147,630,10,10
151,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,1,1,9.777694,147,630,10,10
152,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,2,1,13.678768,147,630,10,10
153,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,3,1,1.142729,147,630,10,10
154,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,4,1,15.330519,147,630,10,10
155,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,5,1,8.710847,147,630,10,10
156,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,6,1,15.756044,147,630,10,10
157,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,7,1,6.230825,147,630,10,10
158,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,8,1,14.625078,147,630,10,10
159,Inet80211SHA3-22-20260810-15:02:31-742143,Inet80211SHA3,22,22,22,9,1,12.911113,147,630,10,10
160,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,0,1,10.034543,147,630,10,10
161,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,1,1,4.747659,147,630,10,10
162,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,2,1,11.612798,147,630,10,10
163,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,3,1,14.888914,147,630,10,10
164,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,4,1,15.514164,147,630,10,10
165,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,5,1,12.038167,147,630,10,10
166,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,6,1,7.835882,147,630,10,10
167,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,7,1,13.984043,147,630,10,10
168,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,8,1,16.419153,147,630,10,10
169,Inet80211SHA3-23-20260810-15:02:31-742143,Inet80211SHA3,23,23,23,9,1,8.695135,147,630,10,10
170,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,0,1,14.638182,147,630,10,10
171,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,1,1,11.068665,147,630,10,10
172,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,2,1,15.524315,147,630,10,10
173,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,3,1,14.1725,147,630,10,10
174,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,4,1,12.520467,147,630,10,10
175,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,5,1,15.970114,147,630,10,10
176,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,6,1,10.703347,147,630,10,10
177,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,7,1,11.954254,147,630,10,10
178,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,8,1,13.246272,147,630,10,10
179,Inet80211SHA3-24-20260810-15:02:31-742143,Inet80211SHA3,24,24,24,9,1,8.192842,147,630,10,10
180,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,0,1,14.765784,147,630,10,10
181,Inet80211SHA3-25-20260810-15:02:31-742143,Inet80211SHA3,25,25,25,1,1,16.217796,147,630,10,10
