idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
44,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,4,rsa2048,1,1.416991,1.029068,0.700595,0.789096,0.024214,0.00497,0.007003,0.100084,703,330,325,24,24
45,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,5,rsa2048,1,1.445625,1.034276,0.699421,0.79635,0.023954,0.004939,0.006832,0.099502,703,330,325,24,24
46,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,6,rsa2048,1,1.416866,1.032122,0.721067,0.794076,0.024054,0.004818,0.006542,0.099752,703,330,325,24,24
47,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,7,rsa2048,1,1.412788,1.058219,0.701058,0.810766,0.024255,0.004849,0.006652,0.104271,703,330,325,24,24
48,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,8,rsa2048,1,1.377531,1.04802,0.679011,0.801519,0.025497,0.004969,0.007253,0.101416,703,330,325,24,24
49,BaselineRSA-12-20260810-16:20:10-769471,BaselineRSA,12,12,12,9,rsa2048,1,1.374653,1.058298,0.674748,0.815204,0.024435,0.004858,0.007264,0.101576,703,330,325,24,24
50,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,0,rsa2048,1,1.384638,1.111447,0.704528,0.830783,0.025036,0.007294,0.012954,0.111905,703,330,325,24,24
51,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,1,rsa2048,1,1.380546,1.097121,0.679622,0.821285,0.024926,0.00496,0.007954,0.123947,703,330,325,24,24
52,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,2,rsa2048,1,1.392546,1.057349,0.679018,0.817248,0.024234,0.00488,0.006913,0.099863,703,330,325,24,24
53,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,3,rsa2048,1,1.366158,1.059081,0.685737,0.820144,0.024034,0.004888,0.006873,0.099783,703,330,325,24,24
54,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,4,rsa2048,1,1.410067,1.046099,0.714398,0.809244,0.023463,0.00482,0.007003,0.099402,703,330,325,24,24
55,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,5,rsa2048,1,1.374912,1.03168,0.685124,0.792934,0.023804,0.004889,0.007153,0.099693,703,330,325,24,24
56,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,6,rsa2048,1,1.386751,1.037792,0.674158,0.798053,0.023874,0.00487,0.007604,0.099893,703,330,325,24,24
57,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,7,rsa2048,1,1.438295,1.029387,0.73897,0.792874,0.023513,0.004799,0.006602,0.099733,703,330,325,24,24
58,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,8,rsa2048,1,1.432786,1.150498,0.708281,0.906381,0.024765,0.005009,0.007874,0.100424,703,330,325,24,24
59,BaselineRSA-13-20260810-16:20:10-769471,BaselineRSA,13,13,13,9,rsa2048,1,1.40162,1.046828,0.709851,0.806849,0.024284,0.004938,0.006852,0.099964,703,330,325,24,24
60,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,0,rsa2048,1,1.399543,1.296907,0.697194,1.006836,0.029584,0.005239,0.012984,0.113387,703,330,325,24,24
61,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,1,rsa2048,1,1.395869,1.057599,0.684411,0.804264,0.024915,0.00498,0.007203,0.110393,703,330,325,24,24
62,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,2,rsa2048,1,1.397002,1.052208,0.693129,0.809063,0.025286,0.004859,0.007163,0.100144,703,330,325,24,24
63,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,3,rsa2048,1,1.416466,1.038837,0.717304,0.792533,0.023753,0.004919,0.006592,0.10416,703,330,325,24,24
64,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,4,rsa2048,1,1.389156,1.051048,0.685784,0.81322,0.023874,0.004819,0.006802,0.099703,703,330,325,24,24
65,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,5,rsa2048,1,1.391493,1.059423,0.679059,0.802531,0.023683,0.00495,0.006923,0.10916,703,330,325,24,24
66,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,6,rsa2048,1,1.375898,1.034285,0.693646,0.79625,0.023823,0.004818,0.006732,0.099553,703,330,325,24,24
67,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,7,rsa2048,1,1.386073,1.183168,0.690756,0.934664,0.025327,0.004989,0.008466,0.101225,703,330,325,24,24
68,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,8,rsa2048,1,1.425627,1.123389,0.689897,0.871177,0.024475,0.00492,0.007714,0.104772,703,330,325,24,24
69,BaselineRSA-14-20260810-16:20:10-769471,BaselineRSA,14,14,14,9,rsa2048,1,1.419301,1.061097,0.702016,0.791441,0.03283,0.004969,0.007734,0.104853,703,330,325,24,24
70,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,0,rsa2048,1,1.432159,1.099765,0.71585,0.821956,0.024775,0.00523,0.013014,0.112445,703,330,325,24,24
71,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,1,rsa2048,1,1.384431,1.055265,0.673576,0.802912,0.024936,0.00492,0.007253,0.105043,703,330,325,24,24
72,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,2,rsa2048,1,1.402456,1.050435,0.685268,0.801239,0.024335,0.007102,0.009447,0.099662,703,330,325,24,24
73,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,3,rsa2048,1,1.395041,1.278544,0.694179,1.016033,0.024755,0.00496,0.009918,0.113228,703,330,325,24,24
74,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,4,rsa2048,1,1.403418,1.050245,0.685994,0.805116,0.025367,0.004908,0.007424,0.100754,703,330,325,24,24
75,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,5,rsa2048,1,1.381453,1.133797,0.693899,0.862732,0.033822,0.005019,0.009518,0.102919,703,330,325,24,24
76,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,6,rsa2048,1,1.416778,1.055535,0.722805,0.805747,0.024615,0.005029,0.006863,0.104611,703,330,325,24,24
77,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,7,rsa2048,1,1.401956,1.050827,0.71693,0.80719,0.025457,0.00495,0.006983,0.100584,703,330,325,24,24
78,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,8,rsa2048,1,1.403228,1.086101,0.708275,0.816256,0.02728,0.004979,0.008245,0.110052,703,330,325,24,24
79,BaselineRSA-15-20260810-16:20:11-769471,BaselineRSA,15,15,15,9,rsa2048,1,1.397771,1.042732,0.697594,0.800438,0.024595,0.00496,0.007193,0.100083,703,330,325,24,24
80,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,0,rsa2048,1,1.385973,1.106038,0.691125,0.826375,0.024805,0.005319,0.013715,0.112897,703,330,325,24,24
81,BaselineRSA-16-20260810-16:20:11-769471,BaselineRSA,16,16,16,1,rsa2048,1,1.383358,1.045517,0.676976,0.803453,0.024455,0.004949,0.007033,0.100515,703,330,325,24,24
