idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
107,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_keygen,10,0.351362,35.1362,33.577,39.4037
108,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,extract,1,0.003336,3.336,3.336,3.336
109,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,kdf,21,0.100897,4.804619,4.889,5.49
110,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac,17,0.038843,2.284882,2.164,2.8634
111,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac_verify,13,0.02793,2.148462,2.144,2.402
112,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,aead_open,1,0.001453,1.453,1.453,1.453
113,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_derive,10,0.636326,63.6326,63.653,63.998
114,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_keygen,10,0.364783,36.4783,34.098,46.0691
115,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,extract,1,0.003216,3.216,3.216,3.216
116,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[4],uav,kdf,21,0.110818,5.277048,4.979,8.165
