idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,spongent_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
35,1,0.462125,0.008125,0.454,104,sha3,0.005541,0.0,pair=UAV5<->UAV6; config=StadiumSHA3,0.001362,0.002124,0.157,0.002765,0.154,0.001874,0.143,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,6
36,1,0.462355,0.008355,0.454,104,sha3,0.005541,0.0,pair=UAV5<->UAV7; config=StadiumSHA3,0.001282,0.002414,0.155,0.002795,0.166,0.001864,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,7
37,1,0.449626,0.008626,0.441,104,sha3,0.005631,0.0,pair=UAV5<->UAV8; config=StadiumSHA3,0.001823,0.002074,0.154,0.002855,0.154,0.001874,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,8
38,1,0.465789,0.009789,0.456,104,sha3,0.006633,0.0,pair=UAV5<->UAV9; config=StadiumSHA3,0.002405,0.002335,0.154,0.002775,0.17,0.002274,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5,9
39,1,0.465856,0.008856,0.457,104,sha3,0.006063,0.0,pair=UAV6<->UAV7; config=StadiumSHA3,0.001693,0.002324,0.153,0.002855,0.154,0.001984,0.15,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,7
40,1,0.477027,0.009027,0.468,104,sha3,0.006194,0.0,pair=UAV6<->UAV8; config=StadiumSHA3,0.002244,0.002154,0.155,0.002765,0.161,0.001864,0.152,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,8
41,1,0.459044,0.008044,0.451,104,sha3,0.00553,0.0,pair=UAV6<->UAV9; config=StadiumSHA3,0.001382,0.002063,0.163,0.002736,0.154,0.001863,0.134,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6,9
42,1,0.482347,0.009347,0.473,104,sha3,0.006363,0.0,pair=UAV7<->UAV8; config=StadiumSHA3,0.001412,0.003246,0.178,0.002815,0.155,0.001874,0.14,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,7,8
43,1,0.453149,0.010149,0.443,104,sha3,0.006782,0.0,pair=UAV7<->UAV9; config=StadiumSHA3,0.001292,0.004128,0.155,0.002795,0.154,0.001934,0.134,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,7,9
44,1,0.459244,0.008244,0.451,104,sha3,0.00569,0.0,pair=UAV8<->UAV9; config=StadiumSHA3,0.001292,0.002174,0.153,0.002915,0.154,0.001863,0.144,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,8,9
45,1,14.437666,13.972666,0.465,104,spongent,0.0,13.966614,pair=UAV0<->UAV1; config=StadiumSPONGENT,1.545997,3.513968,0.154,5.424892,0.167,3.487809,0.144,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,1
46,1,14.636604,14.188604,0.448,104,spongent,0.0,14.184263,pair=UAV0<->UAV2; config=StadiumSPONGENT,1.553642,3.490755,0.158,5.500354,0.155,3.643853,0.135,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0,2
