idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
42,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,aead_open,1,0.001353,1.353,1.353,1.353
43,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_derive,10,0.669957,66.9957,63.722,79.98085
44,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_keygen,10,0.342654,34.2654,33.777,36.0745
45,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,extract,1,0.003196,3.196,3.196,3.196
46,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,kdf,21,0.106253,5.059667,4.91,5.962
47,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac,15,0.032645,2.176333,2.135,2.3916
48,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac_verify,15,0.033046,2.203067,2.194,2.5426
49,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,aead_open,1,0.001343,1.343,1.343,1.343
50,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_derive,10,0.698873,69.8873,63.086,97.4399
51,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_keygen,10,0.342223,34.2223,33.672,37.4066
52,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,extract,1,0.003657,3.657,3.657,3.657
53,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,kdf,21,0.111786,5.323143,4.89,9.559
54,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac,14,0.034049,2.432071,2.119,3.7537
55,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac_verify,16,0.036873,2.304562,2.204,3.4745
56,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,aead_open,1,0.001844,1.844,1.844,1.844
57,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_derive,10,0.692984,69.2984,63.4415,91.64955
58,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_keygen,10,0.3452,34.52,33.7125,38.53215
