idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
48,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,8,rsa2048,1,1.377531,1.04199,0.679011,0.795462,0.024525,0.004879,0.006733,0.106496,703,330,325,24,24
49,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,9,rsa2048,1,1.374653,1.037842,0.674748,0.798117,0.024125,0.00501,0.006713,0.100346,703,330,325,24,24
50,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,0,rsa2048,1,1.384638,1.117038,0.704528,0.822723,0.028853,0.005491,0.013986,0.114883,703,330,325,24,24
51,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,1,rsa2048,1,1.380546,1.045144,0.679622,0.791125,0.025237,0.004949,0.008125,0.1081,703,330,325,24,24
52,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,2,rsa2048,1,1.392546,1.089537,0.679018,0.805131,0.034494,0.005119,0.008436,0.109664,703,330,325,24,24
53,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,3,rsa2048,1,1.366158,1.04838,0.685737,0.802325,0.025767,0.004999,0.007504,0.100647,703,330,325,24,24
54,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,4,rsa2048,1,1.410067,1.043201,0.714398,0.803307,0.024756,0.00496,0.006692,0.099685,703,330,325,24,24
55,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,5,rsa2048,1,1.374912,1.065951,0.685124,0.814719,0.024235,0.004919,0.006913,0.105636,703,330,325,24,24
56,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,6,rsa2048,1,1.386751,1.045164,0.674158,0.798137,0.026629,0.004899,0.007324,0.100796,703,330,325,24,24
57,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,7,rsa2048,1,1.438295,1.08001,0.73897,0.802074,0.024635,0.00537,0.011611,0.113229,703,330,325,24,24
58,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,8,rsa2048,1,1.432786,1.07476,0.708281,0.816171,0.024395,0.005369,0.014046,0.101357,703,330,325,24,24
59,BaselineRSA-13-20260922-20:33:10-1128111,BaselineRSA,13,13,13,9,rsa2048,1,1.40162,1.091491,0.709851,0.818014,0.025588,0.00503,0.008626,0.112929,703,330,325,24,24
60,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,0,rsa2048,1,1.399543,1.10669,0.697194,0.822022,0.025447,0.00537,0.015108,0.112548,703,330,325,24,24
61,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,1,rsa2048,1,1.395869,1.043692,0.684411,0.801684,0.024966,0.004869,0.006852,0.100116,703,330,325,24,24
62,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,2,rsa2048,1,1.397002,1.050425,0.693129,0.799269,0.024776,0.004809,0.006982,0.105094,703,330,325,24,24
63,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,3,rsa2048,1,1.416466,1.044083,0.717304,0.803708,0.024615,0.004899,0.006993,0.099836,703,330,325,24,24
64,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,4,rsa2048,1,1.389156,1.038864,0.685784,0.800602,0.024145,0.004879,0.006863,0.099654,703,330,325,24,24
65,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,5,rsa2048,1,1.391493,1.044304,0.679059,0.806713,0.024215,0.004759,0.006502,0.099644,703,330,325,24,24
66,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,6,rsa2048,1,1.375898,1.062709,0.693646,0.808677,0.024435,0.004899,0.007324,0.106507,703,330,325,24,24
67,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,7,rsa2048,1,1.386073,1.047019,0.690756,0.808636,0.024355,0.004848,0.006643,0.099794,703,330,325,24,24
68,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,8,rsa2048,1,1.425627,1.038794,0.689897,0.800461,0.024245,0.00484,0.006783,0.099344,703,330,325,24,24
69,BaselineRSA-14-20260922-20:33:10-1128111,BaselineRSA,14,14,14,9,rsa2048,1,1.419301,1.042531,0.702016,0.801173,0.023924,0.004898,0.007604,0.100386,703,330,325,24,24
