idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
62,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,2,1,0.996869,0.03519,1.058482,160,16,enrollment; config=ArbiterPuf
63,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,3,1,0.994564,0.034989,1.055005,160,16,enrollment; config=ArbiterPuf
64,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,4,1,1.000245,0.03506,1.060726,160,16,enrollment; config=ArbiterPuf
65,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,5,1,1.004074,0.036623,1.066297,160,16,enrollment; config=ArbiterPuf
66,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,6,1,0.995155,0.072174,1.093862,160,16,enrollment; config=ArbiterPuf
67,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,7,1,0.994404,0.035361,1.055526,160,16,enrollment; config=ArbiterPuf
68,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,8,1,0.993462,0.035651,1.054614,160,16,enrollment; config=ArbiterPuf
69,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,9,1,0.996378,0.03491,1.055737,160,16,enrollment; config=ArbiterPuf
70,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,0,1,1.00252,0.058687,1.100395,160,16,enrollment; config=ArbiterPuf
71,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,1,1,0.999705,0.036452,1.063312,160,16,enrollment; config=ArbiterPuf
72,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,2,1,1.024685,0.03539,1.087811,160,16,enrollment; config=ArbiterPuf
73,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,3,1,1.039725,0.035871,1.101888,160,16,enrollment; config=ArbiterPuf
74,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,4,1,1.003793,0.03537,1.065195,160,16,enrollment; config=ArbiterPuf
75,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,5,1,1.003442,0.035571,1.064264,160,16,enrollment; config=ArbiterPuf
76,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,6,1,1.000076,0.035381,1.061708,160,16,enrollment; config=ArbiterPuf
77,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,7,1,1.004515,0.036843,1.066558,160,16,enrollment; config=ArbiterPuf
78,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,8,1,1.021999,0.035671,1.082701,160,16,enrollment; config=ArbiterPuf
79,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,9,1,1.046518,0.037164,1.108572,160,16,enrollment; config=ArbiterPuf
80,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,0,1,0.959535,0.05992,1.060185,160,16,enrollment; config=ArbiterPuf
81,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,1,1,1.003613,0.036232,1.066808,160,16,enrollment; config=ArbiterPuf
82,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,2,1,0.9926,0.037415,1.061798,160,16,enrollment; config=ArbiterPuf
83,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,3,1,0.96247,0.034057,1.021478,160,16,enrollment; config=ArbiterPuf
84,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,4,1,0.96244,0.036864,1.025155,160,16,enrollment; config=ArbiterPuf
85,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,5,1,0.958392,0.033566,1.016258,160,16,enrollment; config=ArbiterPuf
86,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,6,1,0.96255,0.033788,1.020657,160,16,enrollment; config=ArbiterPuf
87,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,7,1,0.994714,0.033908,1.052459,160,16,enrollment; config=ArbiterPuf
88,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,8,1,0.960306,0.03517,1.019504,160,16,enrollment; config=ArbiterPuf
89,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,9,1,0.997119,0.036202,1.058832,160,16,enrollment; config=ArbiterPuf
90,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,0,1,0.99703,0.051984,1.088682,160,16,enrollment; config=ArbiterPuf
91,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,1,1,1.034164,0.036222,1.099654,160,16,enrollment; config=ArbiterPuf
92,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,2,1,1.001749,0.03488,1.063702,160,16,enrollment; config=ArbiterPuf
93,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,3,1,0.999324,0.03511,1.059674,160,16,enrollment; config=ArbiterPuf
94,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,4,1,0.97748,0.034329,1.03788,160,16,enrollment; config=ArbiterPuf
95,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,5,1,0.960967,0.03519,1.020977,160,16,enrollment; config=ArbiterPuf
96,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,6,1,0.997601,0.035651,1.058733,160,16,enrollment; config=ArbiterPuf
97,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,7,1,0.995897,0.035511,1.056318,160,16,enrollment; config=ArbiterPuf
98,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,8,1,0.991969,0.036042,1.053512,160,16,enrollment; config=ArbiterPuf
99,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,9,1,0.997721,0.035371,1.05767,160,16,enrollment; config=ArbiterPuf
100,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,0,1,0.953913,0.048257,1.043041,160,16,enrollment; config=Baseline5UAV
101,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,1,1,0.949163,0.036262,1.013552,160,16,enrollment; config=Baseline5UAV
102,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,2,1,0.934274,0.035791,0.994945,160,16,enrollment; config=Baseline5UAV
